method,source,memory_model,context_type,query_variant,pref_type,action_model_raw,action_model_base,reasoning_effort,prompt_name,file_name,group_key,query_count,status,error,tp,fp,fn,precision,recall,f1,parsing_fail_count,output_path,rel_path
rag,api,,diag-apilist,singleturn-query,hard,gemini-3-flash-preview_low,gemini-3-flash-preview,low,implicit_zs,0330_fixed_400_rerun.json,RAG/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview_low/implicit_zs,400,ok,,81,261,319,0.23684210526315788,0.2025,0.2183288409703504,103,/data/minseo/experiments4/extended_schema/RAG/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview_low/implicit_zs/0330_fixed_400_rerun.json,RAG/output/singleturn/api/diag-apilist/hard/singleturn-query/gemini-3-flash-preview_low/implicit_zs/0330_fixed_400_rerun.json
ours_memory,vllm,gpt-4o-mini,memory_api,singleturn,hard,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B_high,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,high,implicit_zs,0328_fixed_400_rerun.json,ours_memory/output/singleturn/vllm/gpt-4o-mini/memory_api/hard/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B_high/implicit_zs,400,ok,,134,840,266,0.1375770020533881,0.335,0.1950509461426492,40,/data/minseo/experiments4/extended_schema/ours_memory/output/singleturn/vllm/gpt-4o-mini/memory_api/hard/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B_high/implicit_zs/0328_fixed_400_rerun.json,ours_memory/output/singleturn/vllm/gpt-4o-mini/memory_api/hard/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B_high/implicit_zs/0328_fixed_400_rerun.json
langmem,api,gpt-4o-mini,memory_api,singleturn,hard,gemini-3-flash-preview_low,gemini-3-flash-preview,low,implicit_zs,0330_fixed_400_rerun.json,langmem/output/singleturn/api/gpt-4o-mini/memory_api/hard/gemini-3-flash-preview_low/implicit_zs,400,ok,,76,310,324,0.19689119170984457,0.19,0.19338422391857507,52,/data/minseo/experiments4/extended_schema/langmem/output/singleturn/api/gpt-4o-mini/memory_api/hard/gemini-3-flash-preview_low/implicit_zs/0330_fixed_400_rerun.json,langmem/output/singleturn/api/gpt-4o-mini/memory_api/hard/gemini-3-flash-preview_low/implicit_zs/0330_fixed_400_rerun.json
langmem,api,gpt-4o-mini,memory_api,singleturn,hard,gemini-3-flash-preview_minimal,gemini-3-flash-preview,minimal,implicit_zs,0329_fixed_400_rerun.json,langmem/output/singleturn/api/gpt-4o-mini/memory_api/hard/gemini-3-flash-preview_minimal/implicit_zs,400,ok,,80,353,320,0.18475750577367206,0.2,0.1920768307322929,21,/data/minseo/experiments4/extended_schema/langmem/output/singleturn/api/gpt-4o-mini/memory_api/hard/gemini-3-flash-preview_minimal/implicit_zs/0329_fixed_400_rerun.json,langmem/output/singleturn/api/gpt-4o-mini/memory_api/hard/gemini-3-flash-preview_minimal/implicit_zs/0329_fixed_400_rerun.json
mem0,api,,memory_api,singleturn,hard,gpt-5_high,gpt-5,high,implicit_zs,0330_fixed_400_rerun.json,mem0/output/singleturn/api/memory_api/hard/gpt-5_high/implicit_zs,400,ok,,33,29,367,0.532258064516129,0.0825,0.14285714285714285,343,/data/minseo/experiments4/extended_schema/mem0/output/singleturn/api/memory_api/hard/gpt-5_high/implicit_zs/0330_fixed_400_rerun.json,mem0/output/singleturn/api/memory_api/hard/gpt-5_high/implicit_zs/0330_fixed_400_rerun.json
vanilla_llm,vllm,,diag-apilist,singleturn-query,hard,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,,imp-zs,0327_fixed_400_rerun.json,vanillaLLM/output/singleturn/vllm/diag-apilist/hard/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B/imp-zs,400,ok,,69,904,331,0.07091469681397738,0.1725,0.10050983248361253,39,/data/minseo/experiments4/extended_schema/vanillaLLM/output/singleturn/vllm/diag-apilist/hard/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B/imp-zs/0327_fixed_400_rerun.json,vanillaLLM/output/singleturn/vllm/diag-apilist/hard/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B/imp-zs/0327_fixed_400_rerun.json
langmem,api,gpt-4o-mini,memory_api,singleturn,hard,gpt-5_minimal,gpt-5,minimal,implicit_zs,0329_fixed_400_rerun.json,langmem/output/singleturn/api/gpt-4o-mini/memory_api/hard/gpt-5_minimal/implicit_zs,400,ok,,16,32,384,0.3333333333333333,0.04,0.07142857142857142,361,/data/minseo/experiments4/extended_schema/langmem/output/singleturn/api/gpt-4o-mini/memory_api/hard/gpt-5_minimal/implicit_zs/0329_fixed_400_rerun.json,langmem/output/singleturn/api/gpt-4o-mini/memory_api/hard/gpt-5_minimal/implicit_zs/0329_fixed_400_rerun.json
vanilla_llm,vllm,,diag-apilist,singleturn-query,hard,google_codegemma-7b-it,google_codegemma-7b-it,,imp-zs,0327_fixed_400_rerun.json,vanillaLLM/output/singleturn/vllm/diag-apilist/hard/singleturn-query/google_codegemma-7b-it/imp-zs,400,ok,,49,1126,351,0.04170212765957447,0.1225,0.062222222222222213,36,/data/minseo/experiments4/extended_schema/vanillaLLM/output/singleturn/vllm/diag-apilist/hard/singleturn-query/google_codegemma-7b-it/imp-zs/0327_fixed_400_rerun.json,vanillaLLM/output/singleturn/vllm/diag-apilist/hard/singleturn-query/google_codegemma-7b-it/imp-zs/0327_fixed_400_rerun.json
mem0,api,,memory_api,singleturn,hard,gpt-5_low,gpt-5,low,implicit_zs,0330_fixed_400_rerun.json,mem0/output/singleturn/api/memory_api/hard/gpt-5_low/implicit_zs,400,ok,,3,2,397,0.6,0.0075,0.014814814814814815,395,/data/minseo/experiments4/extended_schema/mem0/output/singleturn/api/memory_api/hard/gpt-5_low/implicit_zs/0330_fixed_400_rerun.json,mem0/output/singleturn/api/memory_api/hard/gpt-5_low/implicit_zs/0330_fixed_400_rerun.json
mem0,api,,memory_api,singleturn,hard,gpt-5_minimal,gpt-5,minimal,implicit_zs,0329_fixed_400_rerun.json,mem0/output/singleturn/api/memory_api/hard/gpt-5_minimal/implicit_zs,400,ok,,3,4,397,0.42857142857142855,0.0075,0.01474201474201474,393,/data/minseo/experiments4/extended_schema/mem0/output/singleturn/api/memory_api/hard/gpt-5_minimal/implicit_zs/0329_fixed_400_rerun.json,mem0/output/singleturn/api/memory_api/hard/gpt-5_minimal/implicit_zs/0329_fixed_400_rerun.json
mem0,api,,memory_api,singleturn,hard,gemini-3-flash-preview_high,gemini-3-flash-preview,high,implicit_zs,0330_fixed_400_rerun.json,mem0/output/singleturn/api/memory_api/hard/gemini-3-flash-preview_high/implicit_zs,400,ok,,1,4,399,0.2,0.0025,0.0049382716049382715,395,/data/minseo/experiments4/extended_schema/mem0/output/singleturn/api/memory_api/hard/gemini-3-flash-preview_high/implicit_zs/0330_fixed_400_rerun.json,mem0/output/singleturn/api/memory_api/hard/gemini-3-flash-preview_high/implicit_zs/0330_fixed_400_rerun.json
mem0,api,,memory_api,singleturn,hard,gemini-3-flash-preview_low,gemini-3-flash-preview,low,implicit_zs,0330_fixed_400_rerun.json,mem0/output/singleturn/api/memory_api/hard/gemini-3-flash-preview_low/implicit_zs,400,ok,,0,0,400,0.0,0.0,0.0,400,/data/minseo/experiments4/extended_schema/mem0/output/singleturn/api/memory_api/hard/gemini-3-flash-preview_low/implicit_zs/0330_fixed_400_rerun.json,mem0/output/singleturn/api/memory_api/hard/gemini-3-flash-preview_low/implicit_zs/0330_fixed_400_rerun.json
mem0,api,,memory_api,singleturn,hard,gemini-3-flash-preview_minimal,gemini-3-flash-preview,minimal,implicit_zs,0329_fixed_400_rerun.json,mem0/output/singleturn/api/memory_api/hard/gemini-3-flash-preview_minimal/implicit_zs,400,ok,,0,0,400,0.0,0.0,0.0,400,/data/minseo/experiments4/extended_schema/mem0/output/singleturn/api/memory_api/hard/gemini-3-flash-preview_minimal/implicit_zs/0329_fixed_400_rerun.json,mem0/output/singleturn/api/memory_api/hard/gemini-3-flash-preview_minimal/implicit_zs/0329_fixed_400_rerun.json
