memory_model,example_id,sessions,attempts,generated_implicit_pref_tokens,verify_candidate_implicit_pref_tokens,refine_prev_implicit_pref_tokens,generated_plus_verify_plus_refine_tokens,final_session_implicit_pref_tokens_sum
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0058,7,8,158,158,17,333,141
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0063,9,9,241,241,0,482,241
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0070,10,10,337,337,0,674,337
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0073,9,9,231,231,0,462,231
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0078,5,5,158,158,0,316,158
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0040,10,13,364,364,81,809,283
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0074,6,9,184,184,32,400,136
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0051,9,12,313,313,77,703,236
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0068,6,10,141,141,52,334,89
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0056,9,12,389,389,96,874,293
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0060,10,12,300,300,48,648,252
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0066,9,11,291,291,59,641,232
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0080,8,8,218,218,0,436,218
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0084,7,7,181,181,0,362,181
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0075,8,9,196,196,0,392,176
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0083,7,7,196,196,0,392,196
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0071,10,12,320,320,63,703,257
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0082,9,10,268,268,20,556,248
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0085,7,9,175,175,48,398,127
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0093,6,6,174,174,0,348,174
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0079,10,11,284,284,20,588,264
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0090,8,8,183,183,0,366,183
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0088,9,9,266,266,0,532,266
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0086,8,8,215,215,0,430,215
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0065,9,15,381,381,91,853,247
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0081,9,10,227,227,22,476,205
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0091,8,8,264,264,0,528,264
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0096,6,6,185,185,0,370,185
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0087,10,10,347,347,0,694,347
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0100,5,5,119,119,0,238,119
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0094,9,9,235,235,0,470,235
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0092,7,8,268,268,31,567,237
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0099,9,9,210,210,0,420,210
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0104,6,7,169,169,29,367,140
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0095,5,7,147,147,18,312,129
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0097,10,10,339,339,0,678,339
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0112,7,7,167,167,0,334,167
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0107,8,8,243,243,0,486,243
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0103,9,9,189,189,0,378,189
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0114,6,6,149,149,0,298,149
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0113,7,7,174,174,0,348,174
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0102,10,10,265,265,0,530,265
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0076,8,19,244,244,118,606,100
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0109,10,10,271,271,0,542,271
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0098,5,9,191,191,89,471,102
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0122,5,5,144,144,0,288,144
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0117,7,7,201,201,0,402,201
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0110,9,10,246,246,24,516,222
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0127,5,5,133,133,0,266,133
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0116,7,7,186,186,0,372,186
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0111,10,11,301,301,33,635,268
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0105,9,12,309,309,73,691,236
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0108,9,11,281,281,32,594,249
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0089,8,17,204,204,107,515,97
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0115,5,7,192,192,10,394,172
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0131,8,8,213,213,0,426,213
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0119,9,9,276,276,0,552,276
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0124,6,6,129,129,0,258,129
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0133,7,7,146,146,0,292,146
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0120,5,8,142,142,36,320,106
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0138,6,6,158,158,0,316,158
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0135,6,6,194,194,0,388,194
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0132,10,10,310,310,0,620,310
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0134,8,8,204,204,0,408,204
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0146,5,5,137,137,0,274,137
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0130,6,9,192,192,47,431,145
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0139,7,7,200,200,0,400,200
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0137,9,9,258,258,0,516,258
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0126,10,11,370,370,41,781,329
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0128,8,10,230,230,36,496,194
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0147,10,10,289,289,0,578,289
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0154,7,7,181,181,0,362,181
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0118,10,14,299,299,84,682,215
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0153,7,7,162,162,0,324,162
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0148,7,7,218,218,0,436,218
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0152,10,10,268,268,0,536,268
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0145,10,10,362,362,0,724,362
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0144,8,12,262,262,83,607,179
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0160,6,7,147,147,17,311,130
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0155,10,10,285,285,0,570,285
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0150,10,12,224,224,32,480,192
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0158,7,8,207,207,24,438,183
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0156,9,9,270,270,0,540,270
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0161,6,7,164,164,18,346,146
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0142,10,9,259,259,0,518,291
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0163,8,8,238,238,0,476,238
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0140,9,14,197,197,28,422,169
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0164,5,5,125,125,0,250,125
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0149,10,10,302,302,0,604,302
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0165,7,7,182,182,0,364,182
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0143,9,16,224,224,98,546,126
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0166,8,8,214,214,0,428,214
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0169,6,6,173,173,0,346,173
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0173,5,5,137,137,0,274,137
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0136,10,14,383,383,81,847,281
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0172,6,6,199,199,0,398,199
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0170,7,8,192,192,25,409,167
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0168,5,7,210,210,65,485,145
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0180,5,5,143,143,0,286,143
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0171,6,7,157,157,30,344,127
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0162,10,12,254,254,38,546,216
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0176,8,8,236,236,0,472,236
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0175,8,8,185,185,0,370,185
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0181,7,7,212,212,0,424,212
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0189,5,5,148,148,0,296,148
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0174,7,8,221,221,25,467,196
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0182,6,7,219,219,26,464,193
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0187,7,7,213,213,0,426,213
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0179,10,10,326,326,0,652,326
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0184,9,9,244,244,0,488,244
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0177,8,10,241,241,43,525,198
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0183,8,9,253,253,22,528,231
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0193,8,8,180,180,0,360,180
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0178,9,9,137,137,0,274,137
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0196,7,7,167,167,0,334,167
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0190,9,9,231,231,0,462,231
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0198,5,5,133,133,0,266,133
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0186,6,8,202,202,28,432,174
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0192,8,9,232,232,34,498,198
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0199,8,8,275,275,0,550,275
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0197,5,6,199,199,30,428,169
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0203,6,7,197,197,31,425,166
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0206,6,7,177,177,21,375,156
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0194,7,10,230,230,55,515,175
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0204,8,8,256,256,0,512,256
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0213,7,7,211,211,0,422,211
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0207,8,8,261,261,0,522,261
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0214,7,7,224,224,0,448,224
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0200,8,8,196,196,0,392,196
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0205,10,10,306,306,0,612,306
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0201,10,10,236,236,0,472,236
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0195,9,11,310,310,57,677,253
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0202,7,8,196,196,23,415,173
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0222,5,5,125,125,0,250,125
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0215,6,8,162,162,40,364,122
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0211,8,8,212,212,0,424,212
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0220,8,8,227,227,0,454,227
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0212,10,10,251,251,0,502,251
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0217,10,10,318,318,0,636,318
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0221,10,10,204,204,0,408,204
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0216,7,7,243,243,0,486,243
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0234,6,6,193,193,0,386,193
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0218,8,8,229,229,0,458,229
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0231,6,6,189,189,0,378,189
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0210,9,13,335,335,84,754,251
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0223,8,9,249,249,20,518,229
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0219,10,10,273,273,0,546,273
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0228,5,7,147,147,26,320,121
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0224,5,8,99,99,24,222,75
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0227,6,7,200,200,32,432,168
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0239,7,7,205,205,0,410,205
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0230,10,11,331,331,16,678,315
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0233,6,7,161,161,22,344,139
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0255,5,5,129,129,0,258,129
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0236,8,8,279,279,0,558,279
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0243,7,8,202,202,23,427,179
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0249,9,9,253,253,0,506,253
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0244,10,10,232,232,0,464,232
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0246,9,9,291,291,0,582,291
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0247,9,10,235,235,0,470,226
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0226,8,12,334,334,108,776,226
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0256,9,9,250,250,0,500,250
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0240,9,9,261,261,0,522,261
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0242,10,12,318,318,20,656,267
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0258,9,9,223,223,0,446,223
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0261,6,6,188,188,0,376,188
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0260,8,8,230,230,0,460,230
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0268,7,7,189,189,0,378,189
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0251,7,12,198,198,83,479,115
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0262,7,8,214,214,24,452,190
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0273,5,5,143,143,0,286,143
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0272,6,6,177,177,0,354,177
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0238,7,16,218,218,99,535,102
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0267,8,8,225,225,0,450,225
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0241,10,12,299,299,51,649,248
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0274,7,7,167,167,0,334,167
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0270,6,7,282,282,22,586,260
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0250,9,12,335,335,81,751,254
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0266,9,10,300,300,28,628,272
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0282,5,5,119,119,0,238,119
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0283,5,5,157,157,0,314,157
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0279,7,7,206,206,0,412,206
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0252,9,14,376,376,107,859,239
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0291,5,5,156,156,0,312,156
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0278,8,8,202,202,0,404,202
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0254,7,13,276,276,96,648,154
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0290,5,5,144,144,0,288,144
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0271,10,14,250,250,51,551,199
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0281,10,10,300,300,0,600,300
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0293,6,7,176,176,17,369,159
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0298,5,5,137,137,0,274,137
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0294,6,7,214,214,29,457,185
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0302,6,6,196,196,0,392,196
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0284,5,6,132,132,29,293,103
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0285,10,10,256,256,0,512,256
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0292,9,9,267,267,0,534,267
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0276,8,12,272,272,68,612,204
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0297,8,8,196,196,0,392,196
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0296,7,8,241,241,30,512,211
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0300,9,9,309,309,0,618,309
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0305,5,5,169,169,0,338,169
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0277,9,11,448,448,82,978,366
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0308,5,5,139,139,0,278,139
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0280,8,13,184,184,54,422,130
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0307,6,6,213,213,0,426,213
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0306,7,7,217,217,0,434,217
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0317,5,5,126,126,0,252,126
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0286,9,13,276,276,76,628,200
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0321,6,6,186,186,0,372,186
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0315,7,7,228,228,0,456,228
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0310,6,7,153,153,22,328,131
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0304,8,11,201,201,17,419,168
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0309,9,11,274,274,48,596,226
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0330,7,7,211,211,0,422,211
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0314,10,11,396,396,28,820,368
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0327,8,8,211,211,0,422,211
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0318,10,10,315,315,0,630,315
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0303,10,15,343,343,76,762,247
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0325,7,9,270,270,61,601,209
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0323,10,10,338,338,0,676,338
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0326,10,10,241,241,0,482,241
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0295,8,14,330,330,128,788,180
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0331,8,8,228,228,0,456,228
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0329,7,8,207,207,33,447,174
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0320,8,10,277,277,39,593,238
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0332,8,9,244,244,26,514,218
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0319,6,13,456,456,230,1142,226
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0322,10,15,295,295,75,665,204
deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,dev_0313,9,16,407,407,154,968,244
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0004,2,2,66,66,0,132,66
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0008,5,5,119,119,0,238,119
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0014,6,6,128,128,0,256,128
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0003,6,6,83,83,0,166,83
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0037,5,6,102,102,17,221,85
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0009,6,6,113,113,0,226,113
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0038,5,6,260,260,45,565,215
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0035,6,8,188,188,34,410,154
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0032,7,7,196,196,0,392,196
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0039,6,6,143,143,0,286,143
deepseek-ai_DeepSeek-R1-Distill-Llama-8B,dev_0027,7,9,116,116,27,259,89
